id,part,verse,in_doctrine,in_life_of_oyasama,en_6th_ed,ro,jp1,jp2,kanji,en
35,1,35,,,"Unless this wrongdoing is completely removed, know that it will stand in the way of the construction.",kono akuji sukiyaka noken koto nitewa   fushin no jama ni naru to koso shire,このあくじすきやかのけん事にてハ,ふしんのしやまになるとこそしれ,この悪事清きやか退けん事にては   普請の邪魔になるとこそ知れ,"Unless this wrongdoing is entirely done away with, it will stand in the way of the construction. Understand it well!"
36,1,36,,,"No matter how stubborn this wrongdoing may be, it will be removed by the admonishment of God.",kono akuji nanbo shibutoi mono ya tote   Kami ga semekiri nokete miseru de,このあくじなんぼしぶといものやどて,神がせめきりのけてみせるで,この悪事何ぼしぶとい物やとて   神が責め切り退けて見せるで,"However obstinate this wrongdoing may be, I, God, will continue to attack and get rid of it."
37,1,37,,,"If this wrongdoing is completely cleared away, the lameness of your leg, also, will be cleared away.",kono akuji sukiyaka noketa koto naraba   ashi no chinba mo sukiyaka to naru,このあくじすきやかのけた事ならバ,あしのちんばもすきやかとなる,この悪事清きやか退けた事ならば   足の跛も清きやかとなる,"Only if this wrongdoing is entirely done away with, the lameness of the leg will be completely cured."
38,1,38,,,"If only your leg is made completely well, nothing will remain but to prepare for the construction.",ashi saika sukiyaka naori shita naraba   ato wa fushin no moyo bakari o,あしさいかすきやかなをりしたならバ,あとハふしんのもよふハかりを,足さいか清きやか直りしたならば   後は普請の模様ばかりを,"Only if the lameness of the leg is completely cured, you can devote yourself single-heartedly to arrangements for the construction."
39,1,39,,,Just a word: returning her by the thirtieth of the first month is also from the mind of God.,choto hanashi shogatsu misoka to hi o kirite   okuru mo Kami no kokoro kara tote,一寸はなし正月三十日とひをきりて,をくるも神の心からとて,一寸話正月三十日と日を切りて   送るも神の心からとて,Just a word! It is the intention of God to send her back to her home by the thirtieth of the first month.
40,1,40,,,You close to Me may question what I do. This is because you do not know the future.,soba na mono nani goto suru to omoedomo   saki naru koto o shiran yue nari,そバなものなに事するとをもへども,さきなる事をしらんゆへなり,側な者何事すると思えども   先なる事を知らん故なり,"You close to Me may feel strange about what I intend to do, but it is because you cannot foresee what will happen in the future."
41,1,41,,,"When the day arrives and things are seen, you close to Me will know that God's words never err.",sono hi kite mietaru naraba soba na mono   Kami no yu koto nanimo chigawan,そのひきてみへたるならバそばなもの,神のゆう事なにもちがハん,その日来て見えたるならば側な者   神の言う事何も違わん,"When the day comes and things appear, you close to Me will understand that what I, God, tell you never proves wrong."
42,1,42,,,"Until now, you have doubted the words of God. You have been saying that they are all false.",imamade wa Kami no yu koto utagote   nanimo uso ya to yute ita nari,いまゝでハ神のゆう事うたこふて,なにもうそやとゆうていたなり,今迄は神の言う事疑うて   何も嘘やと言うて居たなり,"So far you have doubted what I, God, have told you. You have been saying that it is all false."
43,1,43,,,"Among the words of God, who began this world, there is not even a single mistake in a thousand.",kono yo o hajimeta Kami no yu koto ni   sen ni hitotsu mo chigau koto nashi,このよふをはじめた神のゆう事に,せんに一つもちがう事なし,この世を初めた神の言う事に   千に一つも違う事無し,"There is not a single mistake even out of a thousand in what I, God, who created this world tell you."
44,1,44,,,"If you begin to see this step by step, be convinced. Every kind of mind will all be revealed.",dandan to miete kita nara tokushin se   ikana kokoro mo mina arawareru,だん／＼とみへてきたならとくしんせ,いかな心もみなあらハれる,段々と見えて来たなら得心せ   如何な心も皆現れる,"When things appear one by one, become convinced of the truth of My words! Minds of whatever kinds will all appear."
45,1,45,,,"Looking all over the world and through all ages, I see various paths of life.",yorozuyo no sekaiju o miwataseba   michi no shidai mo iroiro ni aru,よろづよのせかいぢふうをみハたせバ,みちのしだいもいろ／＼にある,万代の世界中を見渡せば   道の次第も色々に有る,"Looking all over the world and through all ages, I find there are various ways of life."
46,1,46,1,,"Hereafter, I shall speak in the metaphor of a path, not indicating any place in particular.",konosaki wa michi ni tatoete hanashi suru   doko no koto tomo sarani yuwan de,このさきハみちにたとへてはなしする,どこの事ともさらにゆハんで,この先は道に例えて話する   何処の事とも更に言わんで,From now on I will talk in the metaphor of a road. But I will not indicate any person in particular.
47,1,47,1,1,"Over steep mountains, through tangles of thorns, along narrow ledges, and through brandished swords, if you come,",yamasaka ya ibara guro mo gakemichi mo   tsurugi no naka mo torinuke tara,やまさかやいばらぐろふもがけみちも,つるぎのなかもとふりぬけたら,山坂や茨くろも崖道も   剣の中も通り抜けたら,"Passing over steep mountains and thorny paths, along ledges, and through the blades of swords,"
48,1,48,1,1,"Yet ahead through a sea of flames and a deep abyss, you will arrive at a narrow lane.",mada mieru hi no naka mo ari fuchinaka mo   sore o koshitara hosoi michi ari,まだみへるひのなかもありふちなかも,それをこしたらほそいみちあり,未だ見える火の中も有り淵中も   それを越したら細い道有り,"Further, passing through a sea of flame and a deep abyss, you will come to a narrow lane."
49,1,49,,1,"After following the narrow lane step by step, you will come to a broad way. This is the trustworthy main path.",hosomichi o dandan koseba omichi ya   kore ga tashikana honmichi de aru,ほそみちをだん／＼こせばをふみちや,これがたしかなほんみちである,細道を段々越せば大道や   これが確かな本道で有る,"After passing through the narrow lane step by step, you will come to a broad way. This is the trustworthy main road."
50,1,50,,1,This talk is not someone else's concern. It is a matter of your own and your single-heartedness with God.,kono hanashi hoka no koto dewa nai hodoni   Kami ichijo de kore waga koto,このはなしほかの事でわないほとに,神一ぢよでこれわが事,この話他の事では無い程に   神一条でこれ我が事,You must not take this metaphor as other people's concern. This is a matter of My own and of all who go single-heartedly the way of God.
51,1,51,,,"Until now, I have spoken solely about matters within. Now, I shall change the topic.",imamade wa uchi naru koto o bakari nari   mo korekara wa monku kawaru zo,いまゝでハうちなる事をばかりなり,もふこれからハもんくかハるぞ,今迄は内なる事をばかりなり   もうこれからは文句変わるぞ,"So far I have admonished you about the family affairs alone, but from now on I will change My topic."
52,1,52,1,,"Looking all over the world and through all ages, I find no one who is evil.",yorozuyo ni sekai no tokoro miwatasedo   ashiki no mono wa sara ni nai zo ya,よろづよにせかいのところみハたせど,あしきのものハさらにないぞや,万代の世界の所見渡せど   悪しきの者は更に無いぞや,"Looking all over the world and through all ages, I find no one who is essentially evil."
53,1,53,1,,"Among all humankind, there is no one who is evil. It is only a bit of dust stuck on.",ichiretsu ni ashiki to yute nai keredo   choto no hokori ga tsuita yue nari,一れつにあしきとゆうてないけれど,一寸のほこりがついたゆへなり,一列に悪しきと言うて無いけれど   一寸の埃が付いた故なり,"Among all mankind, there is no one who is essentially  evil. If there is, it is only because a few specks of dust have stuck to him."
54,1,54,,,"Hereafter, calm your minds and ponder. Make sure you will not be remorseful later.",konosaki wa kokoro shizumete shiyan seyo   ato de kokwai naki yoni seyo,このさきハ心しづめてしやんせよ,あとでこふくハいなきよふにせよ,この先は心静めて思案せよ   後で後悔無き様にせよ,Henceforth deeply ponder well with a calm mind so that you need not repent of it afterwards!
55,1,55,,,Long have you wandered on your path until now. You must be very tired of it.,imamade wa nagai dochu michisugara   yohodo taikutsu shita de aro na,いまゝてハながいどふちふみちすがら,よほどたいくつしたであろをな,今迄は永い道中道すがら   余程退屈したで有ろうな,So far you have wandered such a long way. So perhaps you are very tired of it.
56,1,56,,,"Finally this time, a trustworthy place of worship has begun to appear. Be convinced of it!",konotabi wa mo tashika naru mairisho   miete kita zoe tokushin o seyo,このたびハもふたしかなるまいりしよ,みへてきたぞへとくしんをせよ,この度はもう確かなる参り所   見えて来たぞえ得心をせよ,But now a definite place for worship has made its appearance. So be convinced of it!
57,1,57,,,"From now on, I shall teach you about the long journey of humankind. Ponder over it firmly!",korekara wa nagai dochu michisugara   toite kikasuru tokuto shiyan o,これからハながいどふちふみちすがら,といてきかするとくとしやんを,これからは永い道中道すがら   説いて聞かする篤くと思案を,From now on I will teach in detail on the long journey of man. Ponder over it seriously!
58,1,58,,,"Hereafter, I shall arrange for the settling of matters within. The mind of God is hastening it.",konosaki wa uchi o osameru moyodate   Kami no ho niwa kokoro sekikomu,このさきハうちをおさめるもよふだて,神のほふにハ心せきこむ,この先は内を治める模様建て   神の方には心急き込む,Henceforth I will arrange for settling the family affairs. The mind of God is truly hastening it.
59,1,59,,,"Please listen to what God tells you step by step, for I shall never tell you anything wrong.",dandan to Kami no yu koto kiite kure   ashiki no koto wa sarani yuwan de,だん／＼と神のゆふ事きいてくれ,あしきのことハさらにゆハんで,段々と神の言う事聞いて呉れ   悪しきの事は更に言わんで,"Step by step listen to what I, God, tell you! For I will tell you nothing wrong."
60,1,60,,,You say that you wish to train the child for two or three more years. But she is no longer in the hands of God.,kono kodomo ni nen san nen shikomo to   yute iredomo Kami no tebanare,このこ共二ねん三ねんしこもふと,ゆうていれども神のてはなれ,この子供二年三年仕込もうと   言うて居れども神の手離れ,You say that you wish to train this young one for two or three years. But from this one the hand of God is removed.
61,1,61,,,"Ponder well: however dear she may be to you, her parent, you can do nothing if she is out of the hands of God.",shiyan seyo oya ga ika hodo omotemo   Kami no tebanare kore wa kanawan,しやんせよをやがいかほどをもふても,神のてばなれこれハかなハん,思案せよ親が如何程思うても   神の手離れこれは敵わん,"Ponder over it well! However beloved she may be to you parents, when the hand of God is removed from her, you will be powerless."
62,1,62,,,This world is mixed with wrongdoing. You must not attach yourself to bad causation.,kono yo wa akuji majiri de aru karani   innen tsukeru koto wa ikan de,このよふハあくしまじりであるからに,いんねんつける事ハいかんで,この世は悪事混じりで有るからに   因縁付ける事はいかんで,This world is mixed with wrongdoing. You must not attach yourself to bad causation.
63,1,63,,,You are thinking that you are already near fifty. Yet in the eyes of God you have many years ahead of you.,waga mi niwa mo goju ya to omoedomo   Kami no me niwa mada saki ga aru,,神のめへにハまださきがある,,"Although you may think that you are near fifty, yet in the eyes of God you have many years ahead of you."
64,1,64,,,"Sixty more years from this year, God promises you with certainty.",kotoshi yori rokuju nen wa shikkari to   Kami no ho niwa shikato ukeyau,ことしより六十ねんハしいかりと,神のほふにハしかとうけやう,今年より六十年は確りと   神の方には確と請け合う,"I, God, guarantee you sixty more years from this year assuredly."
65,1,65,,,"From now, replace your mind firmly. Sweep away the wrongdoing and take a young wife.",korekara wa kokoro shikkari irekae yo   akuji harote wakaki nyobo,これからハ心しいかりいれかへよ,あくじはろふてハかきによほふ,これからは心確り入れ替えよ   悪事払うて若き女房,"From now  on replace your mind definitely, sweep away the wrongdoing, and take a young wife."
66,1,66,,,"This may seem difficult to do, but God will go forth and receive her without fail.",kore totemo mutsukashi yoni aru keredo   Kami ga deta nara morote kuru zo ya,これとてもむつかしよふにあるけれど,神がでたならもろてくるそや,これとても難し様に有るけれど   神が出たなら貰ろて来るぞや,"This may seem difficult, but when I, God, make the request Myself, she will come without fail."
67,1,67,,,"After you have devoted yourself day by day, I shall leave you entrusted with the management of everything.",nichinichi ni kokoro tsukushita sono ue wa   ato no shihai o yorozu makaseru,にち／＼に心つくしたそのゑハ,あとのしはいをよろづまかせる,日々に心尽くしたその上は   後の支配を万任せる,"If you devote yourself to My will day by day, I will entrust you with the management of everthing in the future."
68,1,68,,,"Of the five, keep two at home. God will take charge of the other three.",go nin aru naka no ni nin wa uchi ni oke   ato san nin wa Kami no hikiuke,五人あるなかのにゝんハうちにをけ,あと三人ハ神のひきうけ,五人有る中の二人は内に置け   後三人は神の引き受け,"Of the five young ones, you may keep two at your home, but God will take charge of the other three."
69,1,69,,,Look at things in the world and through all ages. Calm your mind and ponder over them.,yorozuyo no sekai no koto o miharashite   kokoro shizumete shiyan shite miyo,よろづよのせかいの事をみはらして,心しづめてしやんしてみよ,万代の世界の事を見晴らして   心静めて思案してみよ,"Looking at things all over the world and through all ages, ponder deeply over them with a calm mind!"
70,1,70,,1,"This has always been the world of God, but it is the first time that I act as a go-between.",imamade mo Kami no sekai de aru keredo   nakadachi suru wa ima ga hajime ya,いまゝても神のせかいであるけれど,なかだちするハ今がはじめや,今迄も神の世界で有るけれど   仲立ちするは今が初めや,"It has always been the world of God, yet this is the first time that I act as go-between."
71,1,71,,,"People will think this is odd. But however much they may laugh, it is of prime importance.",korekara wa sekai no hito wa okashigaru   nanbo warotemo kore ga daiichi,これからハせかいの人ハをかしがる,なんぼハろてもこれが大一,これからは世界の人は可笑しがる   何ぼ笑てもこれが第一,"People of the world may think this match is odd. But however much they may laugh, this is the matter of prime importance."
72,1,72,,,Perhaps people will say: What are you doing? But the laughter of people will be God's delight.,sekai niwa nani goto suru to yu de aro   hito no warai o Kami ga tanoshimu,せかいにハなに事するとゆうとであろ,人のハらいを神がたのしむ,世界には何事すると言うで有ろ   人の笑いを神が楽しむ,"People will ask: What is all this? Though people will laugh, God will take delight in their laughter."
73,1,73,,,The self-centered mind will not do. The mind of God differs entirely.,meme no omou kokoro wa ikan de na   Kami no kokoro wa mina chigau de na,めへめへのをもふ心ハいかんでな,神の心ハみなちがうでな,銘々の思う心はいかんでな   神の心は皆違うでな,One should not do as one pleases. The intention of God is completely different from that of man.
74,1,74,,1,I bring you together according to the causality of your previous lives and protect you. This settles the matter for all time.,zensho no innen yosete shugo suru   kore wa matsudai shikato osamaru,せんしよのいんねんよせてしうごふする,これハまつだいしかとをさまる,前生の因縁寄せて守護する   これは末代確と治まる,"Uniting the causality of your previous lives, I protect you. This is settled firmly forever."
75,2,1,,,"From now, I shall begin to open a broad path. I shall make all minds in the world spirited.",korekara wa okwan michi o tsuke kakeru   sekai no kokoro mina isameru de,これからハをくハんみちをつけかける,せかいの心みないさめるで,これからは往還道を付け掛ける   世界の心皆勇めるで,From now on I will begin to construct a broad way and cheer up the minds of all people of the world.
76,2,2,,,"Those in high places will come at any moment, spirited in mind. The appointed time has arrived.",kami taru wa kokoro isande kuru hodoni   nandoki ni kuru kokugen ga kita,上たるハ心いさんでくるほとに,なんどきにくるこくけんがきた,上たるは心勇んで来る程に   何時に来る刻限が来た,The upper people will come at any moment with their minds cheered up. The fixed time has already come.
77,2,3,,1,"After the tea is picked and the plants are trimmed, the Joyous Service will follow.",cha tsunde ato karitorite shimota nara   ato i deru no wa Yoki-zutome ya,ちやつんであとかりとりてしもたなら,あといでるのハよふきづとめや,茶摘んで後刈り取りてしもたなら   後へ出るのは陽気づとめや,"When you have finished nipping the buds of the tea plant and mowing the leaves, then the Yoki-Zutome, the Joyous Service, will begin."
78,2,4,,1,From where do you think this Service comes? The people in high places will become spirited.,kono Tsutome doko kara kuru to omou kana   kami taru tokoro isami kuru zo ya,このつとめとこからくるとをもうかな,上たるところいさみくるぞや,この勤め何処から来ると思うかな   上たる所勇み来るぞや,Where do you think this Service comes from? The upper people will become cheered.
79,2,5,,,"Step by step, the providence of God will bring about every new and marvelous working.",dandan to Kami no shugo to yu mono wa   mezurashi koto o mina shikakeru de,たん／＼と神のしゆごふとゆうものハ,めつらし事をみなしかけるで,段々と神の守護と言う物は   珍しい事を皆仕掛けるで,One by one the protection of God will set out to work any and every remarkable event.
80,2,6,,,"Day after day, the mind of God hastens. What are all of you thinking of it?",nichinichi ni Kami no kokoro no sekikomi o   mina ichiretsu wa nanto omoteru,にち／＼に神の心のせきこみを,みないちれつハなんとをもてる,日々に神の心の急き込みを   皆一列は何と思うて居る,"Day by day the mind of God is impatiently hastening. What are you, all mankind, thinking of it?"
81,2,7,1,1,Illness and pain of whatever kind do not exist. They are none other than the hastening and guidance of God.,nani nitemo yamai itami wa sarani nashi   Kami no sekikomi tebiki naru zo ya,なにゝてもやまいいたみハさらになし,神のせきこみてびきなるそや,何にても病痛みは更に無し   神の急き込み手引きなるぞや,Illness and pain of whatever kind do not exist. They are nothing but the hastening and guidance of God.
82,2,8,,1,"The reason for My hastening, if you should ask, is that I desire performers for the Service.",sekikomi mo naniyue naru to yu naraba   Tsutome no ninju hoshii koto kara,せきこみもなにゆへなるとゆうならば,つとめのにんぢうほしい事から,急き込みも何故なると言うならば   勤めの人衆欲しい事から,The reason why I am so impatiently hastening is that I desire to gather up the members for the Service.
83,2,9,,,What do you think this Service is? It is none other than the means to universal salvation.,kono Tsutome nanno koto ya to omote iru   yorozu tasuke no moyo bakari o,このつとめなんの事やとをもている,よろづたすけのもよふばかりを,この勤め何の事やと思うて居る   万救けの模様ばかりを,What do you think this Service is? It is nothing but the means to save you from any and every distress.
