id,part,verse,in_doctrine,in_life_of_oyasama,en,ro,jp_1,jp_2
39,1,39,,,Just a word: returning her by the thirtieth of the first month is also from the mind of God.,choto hanashi shogatsu misoka to hi o kirite   okuru mo Kami no kokoro kara tote,一寸はなし正月三十日とひをきりて,をくるも神の心からとて
40,1,40,,,You close to Me may question what I do. This is because you do not know the future.,soba na mono nani goto suru to omoedomo   saki naru koto o shiran yue nari,そバなものなに事するとをもへども,さきなる事をしらんゆへなり
41,1,41,,,"When the day arrives and things are seen, you close to Me will know that God's words never err.",sono hi kite mietaru naraba soba na mono   Kami no yu koto nanimo chigawan,そのひきてみへたるならバそばなもの,神のゆう事なにもちがハん
42,1,42,,,"Until now, you have doubted the words of God. You have been saying that they are all false.",imamade wa Kami no yu koto utagote   nanimo uso ya to yute ita nari,いまゝでハ神のゆう事うたこふて,なにもうそやとゆうていたなり
43,1,43,,,"Among the words of God, who began this world, there is not even a single mistake in a thousand.",kono yo o hajimeta Kami no yu koto ni   sen ni hitotsu mo chigau koto nashi,このよふをはじめた神のゆう事に,せんに一つもちがう事なし
44,1,44,,,"If you begin to see this step by step, be convinced. Every kind of mind will all be revealed.",dandan to miete kita nara tokushin se   ikana kokoro mo mina arawareru,だん／＼とみへてきたならとくしんせ,いかな心もみなあらハれる
45,1,45,,,"Looking all over the world and through all ages, I see various paths of life.",yorozuyo no sekaiju o miwataseba   michi no shidai mo iroiro ni aru,よろづよのせかいぢふうをみハたせバ,みちのしだいもいろ／＼にある
46,1,46,1,,"Hereafter, I shall speak in the metaphor of a path, not indicating any place in particular.",konosaki wa michi ni tatoete hanashi suru   doko no koto tomo sarani yuwan de,このさきハみちにたとへてはなしする,どこの事ともさらにゆハんで
47,1,47,1,1,"Over steep mountains, through tangles of thorns, along narrow ledges, and through brandished swords, if you come,",yamasaka ya ibara guro mo gakemichi mo   tsurugi no naka mo torinuke tara,やまさかやいばらぐろふもがけみちも,つるぎのなかもとふりぬけたら
48,1,48,1,1,"Yet ahead through a sea of flames and a deep abyss, you will arrive at a narrow lane.",mada mieru hi no naka mo ari fuchinaka mo   sore o koshitara hosoi michi ari,まだみへるひのなかもありふちなかも,それをこしたらほそいみちあり
49,1,49,,1,"After following the narrow lane step by step, you will come to a broad way. This is the trustworthy main path.",hosomichi o dandan koseba omichi ya   kore ga tashikana honmichi de aru,ほそみちをだん／＼こせばをふみちや,これがたしかなほんみちである
50,1,50,,1,This talk is not someone else's concern. It is a matter of your own and your single-heartedness with God.,kono hanashi hoka no koto dewa nai hodoni   Kami ichijo de kore waga koto,このはなしほかの事でわないほとに,神一ぢよでこれわが事
51,1,51,,,"Until now, I have spoken solely about matters within. Now, I shall change the topic.",imamade wa uchi naru koto o bakari nari   mo korekara wa monku kawaru zo,いまゝでハうちなる事をばかりなり,もふこれからハもんくかハるぞ
52,1,52,1,,"Looking all over the world and through all ages, I find no one who is evil.",yorozuyo ni sekai no tokoro miwatasedo   ashiki no mono wa sara ni nai zo ya,よろづよにせかいのところみハたせど,あしきのものハさらにないぞや
53,1,53,1,,"Among all humankind, there is no one who is evil. It is only a bit of dust stuck on.",ichiretsu ni ashiki to yute nai keredo   choto no hokori ga tsuita yue nari,一れつにあしきとゆうてないけれど,一寸のほこりがついたゆへなり
54,1,54,,,"Hereafter, calm your minds and ponder. Make sure you will not be remorseful later.",konosaki wa kokoro shizumete shiyan seyo   ato de kokwai naki yoni seyo,このさきハ心しづめてしやんせよ,あとでこふくハいなきよふにせよ
55,1,55,,,Long have you wandered on your path until now. You must be very tired of it.,imamade wa nagai dochu michisugara   yohodo taikutsu shita de aro na,いまゝてハながいどふちふみちすがら,よほどたいくつしたであろをな
56,1,56,,,"Finally this time, a trustworthy place of worship has begun to appear. Be convinced of it!",konotabi wa mo tashika naru mairisho   miete kita zoe tokushin o seyo,このたびハもふたしかなるまいりしよ,みへてきたぞへとくしんをせよ
57,1,57,,,"From now on, I shall teach you about the long journey of humankind. Ponder over it firmly!",korekara wa nagai dochu michisugara   toite kikasuru tokuto shiyan o,これからハながいどふちふみちすがら,といてきかするとくとしやんを
58,1,58,,,"Hereafter, I shall arrange for the settling of matters within. The mind of God is hastening it.",konosaki wa uchi o osameru moyodate   Kami no ho niwa kokoro sekikomu,このさきハうちをおさめるもよふだて,神のほふにハ心せきこむ
59,1,59,,,"Please listen to what God tells you step by step, for I shall never tell you anything wrong.",dandan to Kami no yu koto kiite kure   ashiki no koto wa sarani yuwan de,だん／＼と神のゆふ事きいてくれ,あしきのことハさらにゆハんで
60,1,60,,,You say that you wish to train the child for two or three more years. But she is no longer in the hands of God.,kono kodomo ni nen san nen shikomo to   yute iredomo Kami no tebanare,このこ共二ねん三ねんしこもふと,ゆうていれども神のてはなれ
61,1,61,,,"Ponder well: however dear she may be to you, her parent, you can do nothing if she is out of the hands of God.",shiyan seyo oya ga ika hodo omotemo   Kami no tebanare kore wa kanawan,しやんせよをやがいかほどをもふても,神のてばなれこれハかなハん
62,1,62,,,This world is mixed with wrongdoing. You must not attach yourself to bad causation.,kono yo wa akuji majiri de aru karani   innen tsukeru koto wa ikan de,このよふハあくしまじりであるからに,いんねんつける事ハいかんで
63,1,63,,,You are thinking that you are already near fifty. Yet in the eyes of God you have many years ahead of you.,waga mi niwa mo goju ya to omoedomo   Kami no me niwa mada saki ga aru,,神のめへにハまださきがある
64,1,64,,,"Sixty more years from this year, God promises you with certainty.",kotoshi yori rokuju nen wa shikkari to   Kami no ho niwa shikato ukeyau,ことしより六十ねんハしいかりと,神のほふにハしかとうけやう
65,1,65,,,"From now, replace your mind firmly. Sweep away the wrongdoing and take a young wife.",korekara wa kokoro shikkari irekae yo   akuji harote wakaki nyobo,これからハ心しいかりいれかへよ,あくじはろふてハかきによほふ
66,1,66,,,"This may seem difficult to do, but God will go forth and receive her without fail.",kore totemo mutsukashi yoni aru keredo   Kami ga deta nara morote kuru zo ya,これとてもむつかしよふにあるけれど,神がでたならもろてくるそや
67,1,67,,,"After you have devoted yourself day by day, I shall leave you entrusted with the management of everything.",nichinichi ni kokoro tsukushita sono ue wa   ato no shihai o yorozu makaseru,にち／＼に心つくしたそのゑハ,あとのしはいをよろづまかせる
68,1,68,,,"Of the five, keep two at home. God will take charge of the other three.",go nin aru naka no ni nin wa uchi ni oke   ato san nin wa Kami no hikiuke,五人あるなかのにゝんハうちにをけ,あと三人ハ神のひきうけ
69,1,69,,,Look at things in the world and through all ages. Calm your mind and ponder over them.,yorozuyo no sekai no koto o miharashite   kokoro shizumete shiyan shite miyo,よろづよのせかいの事をみはらして,心しづめてしやんしてみよ
70,1,70,,1,"This has always been the world of God, but it is the first time that I act as a go-between.",imamade mo Kami no sekai de aru keredo   nakadachi suru wa ima ga hajime ya,いまゝても神のせかいであるけれど,なかだちするハ今がはじめや
71,1,71,,,"People will think this is odd. But however much they may laugh, it is of prime importance.",korekara wa sekai no hito wa okashigaru   nanbo warotemo kore ga daiichi,これからハせかいの人ハをかしがる,なんぼハろてもこれが大一
72,1,72,,,Perhaps people will say: What are you doing? But the laughter of people will be God's delight.,sekai niwa nani goto suru to yu de aro   hito no warai o Kami ga tanoshimu,せかいにハなに事するとゆうとであろ,人のハらいを神がたのしむ
73,1,73,,,The self-centered mind will not do. The mind of God differs entirely.,meme no omou kokoro wa ikan de na   Kami no kokoro wa mina chigau de na,めへめへのをもふ心ハいかんでな,神の心ハみなちがうでな
74,1,74,,1,I bring you together according to the causality of your previous lives and protect you. This settles the matter for all time.,zensho no innen yosete shugo suru   kore wa matsudai shikato osamaru,せんしよのいんねんよせてしうごふする,これハまつだいしかとをさまる
75,2,1,,,"From now, I shall begin to open a broad path. I shall make all minds in the world spirited.",korekara wa okwan michi o tsuke kakeru   sekai no kokoro mina isameru de,これからハをくハんみちをつけかける,せかいの心みないさめるで
76,2,2,,,"Those in high places will come at any moment, spirited in mind. The appointed time has arrived.",kami taru wa kokoro isande kuru hodoni   nandoki ni kuru kokugen ga kita,上たるハ心いさんでくるほとに,なんどきにくるこくけんがきた
77,2,3,,1,"After the tea is picked and the plants are trimmed, the Joyous Service will follow.",cha tsunde ato karitorite shimota nara   ato i deru no wa Yoki-zutome ya,ちやつんであとかりとりてしもたなら,あといでるのハよふきづとめや
78,2,4,,1,From where do you think this Service comes? The people in high places will become spirited.,kono Tsutome doko kara kuru to omou kana   kami taru tokoro isami kuru zo ya,このつとめとこからくるとをもうかな,上たるところいさみくるぞや
79,2,5,,,"Step by step, the providence of God will bring about every new and marvelous working.",dandan to Kami no shugo to yu mono wa   mezurashi koto o mina shikakeru de,たん／＼と神のしゆごふとゆうものハ,めつらし事をみなしかけるで
80,2,6,,,"Day after day, the mind of God hastens. What are all of you thinking of it?",nichinichi ni Kami no kokoro no sekikomi o   mina ichiretsu wa nanto omoteru,にち／＼に神の心のせきこみを,みないちれつハなんとをもてる
81,2,7,1,1,Illness and pain of whatever kind do not exist. They are none other than the hastening and guidance of God.,nani nitemo yamai itami wa sarani nashi   Kami no sekikomi tebiki naru zo ya,なにゝてもやまいいたみハさらになし,神のせきこみてびきなるそや
82,2,8,,1,"The reason for My hastening, if you should ask, is that I desire performers for the Service.",sekikomi mo naniyue naru to yu naraba   Tsutome no ninju hoshii koto kara,せきこみもなにゆへなるとゆうならば,つとめのにんぢうほしい事から
83,2,9,,,What do you think this Service is? It is none other than the means to universal salvation.,kono Tsutome nanno koto ya to omote iru   yorozu tasuke no moyo bakari o,このつとめなんの事やとをもている,よろづたすけのもよふばかりを
84,2,10,,,Do not think this salvation is for the present time alone. It will be the Divine Record for eternity.,kono tasuke ima bakari towa omouna yo   kore matsudai no Koki naru zo ya,このたすけいまばかりとハをもうなよ,これまつたいのこふきなるぞや
85,2,11,,,Just a word: you are saying that it is a fit or madness. It is not an illness but the urging of God.,choto hanashi nobose kanteki yute iru   yamai dewa nai Kami no sekikomi,一寸はなしのぼせかんてきゆうている,やまいでハない神のせきこみ　
86,2,12,,,"Step by step, I have taught the truth of single-heartedness with God, but you still do not understand.",dandan to shinjitsu Kami no ichijo o   toite kikasedo mada wakari nai,たん／＼としんぢつ神の一ちよふ,といてきかせどまだハかりない
87,2,13,,,"Though I desire to go forth into the open quickly, I cannot do so because there is no path.",hayabaya to omote deyo to omoedomo   michi ga note wa deru ni deraren,はや／＼とをもてでよふとをもへとも,みちがのふてハでるにでられん
88,2,14,,,"Though I desire to open this path quickly, there is no place else to open it.",kono michi o hayaku tsukeyo to omoedomo   hoka naru toko de tsukeru toko nashi,このみちをはやくつけよとをもへとも,ほかなるとこでつけるとこなし
89,2,15,,,"If you are sincere in desiring this path to be, ponder over everything from your innermost heart.",kono michi o shinjitsu omou koto naraba   mune no uchi yori yorozu shiyan se,このみちをしんぢつをもう事ならば,むねのうちよりよろづしやんせ
90,2,16,,,What do you think this talk is about? I am hastening for the places where God's truth is conveyed.,kono hanashi nanno koto ya to omote iru   Kami no uchiwake basho sekikomu,このはなしなんの事やとをもている,神のうちわけばしよせきこむ
91,2,17,,,"When this path can be seen, even a little, all minds in the world will become spirited.",kono michi ga choto miekaketa koto naraba   sekai no kokoro mina isami deru,このみちが一寸みゑかけた事ならば,せかいの心みないさみてる
92,2,18,,,"Listen to whatever God says! If only the cleaning of the Residence is completed,",nani nitemo Kami no yu koto shikato kike   yashiki no soji deketa koto nara,なにゝても神のゆう事しかときけ,やしきのそふぢでけた事なら
93,2,19,,,"It will soon be seen. Without a moment to look aside, the dust will disappear as if you were dreaming.",mo mieru yokome furu ma mo nai hodoni   yume mita yoni hokori chiru zo ya,もふみへるよこめふるまないほどに,ゆめみたよふにほこりちるぞや
94,2,20,,,"When this dust is completely swept away, nothing will remain but universal salvation.",kono hokori sukiyaka harota koto naraba   ato wa yorozu no tasuke ichijo,このほこりすきやかはろた事ならば,あとハよろづのたすけ一ちよ
95,2,21,,,"Hereafter, I shall hasten the Service step by step, preparing only for universal salvation.",konosaki wa dandan Tsutome sekikonde   yorozu tasuke no moyo bakari o,このさきハたん／＼つとめせきこんで,よろづたすけのもよふばかりを
96,2,22,1,,Illness and pain throughout the world: you do not know that these are the road signs or guidance of God.,sekaiju doko ga ashiki ya itamisho   Kami no michiose tebiki shirazu ni,せかいぢうとこがあしきやいたみしよ,神のみちをせてびきしらすに
97,2,23,,,"There is nothing in this world that should be called illness. Whenever there is a disorder of the body, ponder deeply.",kono yoni yamai to yute nai hodoni   minouchi sawari mina shiyan seyo,このよふにやまいとゆうてないほどに,みのうちさハりみなしやんせよ
98,2,24,,,"Day after day, God is hastening this salvation. What are all of you thinking about it?",nichinichi ni Kami no sekikomi kono tasuke   mina ichiretsu wa nanto omoteru,にち／＼に神のせきこみこのたすけ,みな一れつハなんとをもてる
99,2,25,,,"Though it is springwater that fills the pond in the high mountains, yet at its spout, it is mixed with mud.",takayama no oike ni waita mizu naredo   debana wa nigori gomoku majiri de,高山のをいけにハいた水なれど,てバなハにこりごもくまぢりで
100,2,26,,,"When you calm your mind step by step and ponder, it will change into clear water.",dandan to kokoro shizumete shiyan suru   sundaru mizu to kawari kuru zo ya,だん／＼と心しづめてしやんする,すんだる水とかハりくるぞや
101,2,27,,,"I shall go into the water in the mountains and make it clear, whatever kind of water it may be.",yama naka no mizu no naka i to irikonde   ika naru mizu mo sumasu koto nari,山なかのみづのなかいと入こんで,いかなる水もすます事なり
102,2,28,,1,"You who are devoting yourselves day after day, settle the heart. Then a promising future will be yours.",nichinichi ni kokoro tsukusuru sono kata wa   mune o osame yo sue wa tanomoshi,にち／＼に心つくするそのかたわ,むねをふさめよすゑハたのもし
103,2,29,,,"From now, I shall plunge into the pond in the high mountains and clear it of mud, whatever kind it may be.",korekara wa takayama ike i tobihairi   ikana gomoku mo soji suru nari,これからハ高山いけいとびはいり,いかなごもくもそうぢするなり
104,2,30,,,"If I only remove the mud from it completely, the remaining water will be clear.",gomoku sai sukiyaka dashite shimota nara   ato naru mizu wa sunde aru nari,こもくさいすきやかだしてしもたなら,あとなる水ハすんであるなり
105,2,31,,,"From now on, I shall talk about Kara and Nihon. You may not understand whatever I tell you.",korekara wa kara to nihon no hanashi suru   nani o yu tomo wakari arumai,これからハからとにほんのはなしする,なにをゆうともハかりあるまい
106,2,32,,,Those of Kara have entered Nihon and their willful acts cause the anger of God.,tojin ga nihon no jii i irikonde   mamani suru no ga Kami no rippuku,とふぢんがにほんのぢいゝ入こんで,まゝにするのが神のりいふく
107,2,33,,,"Step by step, I am preparing to save Nihon. God will deal with those of Kara as God wishes.",dandan to nihon tasukeru moyodate   tojin Kami no mamani suru nari,たん／＼とにほんたすけるもよふだて,とふじん神のまゝにするなり
108,2,34,,,"Hereafter, I shall make a distinction between Kara and Nihon. When it is done, the world will settle.",konosaki wa kara to nihon o wakeru de na   kore wakaritara sekai osamaru,このさきハからとにほんをハけるてな,これハかりたらせかいをさまる
109,2,35,,,"Until now, those in high places have not understood. They thought My teachings to be worldly common.",imamade wa kami taru kokoro wakaraide   sekainami ya to omote ita nari,いまゝでハ上たる心ハからいで,せかいなみやとをもていたなり
110,2,36,,,"From now, God will enter their bodies and make the distinction clear in their minds.",korekara wa Kami ga tainai irikonde   kokoro sumiyaka wakete miseru de,これからハ神がたいない入こんで,心すみやかわけてみせるで
111,2,37,,1,"Though you turn away those who come day by day, their number will only increase step by step.",nichinichi ni yorikuru hito ni kotowari o   yueba dandan naomo masu de,にち／＼によりくる人にことハりを,ゆへばだん／＼なをもまあすで
112,2,38,,1,"No matter how great a number of people may come, do not worry, for it is in the hands of God.",ika hodono oku no hito ga kitaru tomo   nanimo anjina Kami no hikiuke,いかほどのをふくの人がきたるとも,なにもあんぢな神のひきうけ
113,2,39,,1,Marvelous is the Kanrodai of this world's beginning. It will be the cause of peace in Nihon.,mezurashii kono yo hajime no Kanrodai   kore ga nihon no osamari to naru,めつらしいこのよはじめのかんろたい,これがにほんのをさまりとなる
114,2,40,,,I can see fire and water in the high mountains. Can you not see this with your own eyes?,takayama ni hii to mizu to ga miete aru   tare ga me nimo kore ga mien ka,高山に火と水とがみへてある,たれがめへにもこれがみへんか
115,2,41,,,"Step by step, I have given you teachings on every matter, for I have seen what is certain.",dandan to ikana hanashi mo toite aru   tashikana koto ga miete aru kara,たん／＼といかなはなしもといてある,たしかな事がみゑてあるから
116,2,42,,,Everything has been fully arranged for your happiness. Look forward to it!,shiyawase o yoki yoni tote jubun ni   mi ni tsuite kuru kore o tanoshime,しやハせをよきよふにとてじうぶんに,みについてくるこれをたのしめ
117,2,43,,,"If you indulge in extreme greed, the anger of God will begin to appear.",nanimo kamo goyoku tsukushi sono ue wa   Kami no rippuku miete kuru zo ya,なにもかもごふよくつくしそのゆへハ,神のりいふくみへてくるぞや
118,2,44,,,"Step by step, from the fifteenth day, you will begin to see it. Good and evil will both appear.",dandan to ju go nichi yori miekakeru   zen to aku towa mina arawareru,たん／＼と十五日よりみゑかける,善とあくとハみなあらハれる
119,2,45,,,"By this talk, I do not indicate anyone in particular. Become convinced, all of you, when it is seen.",kono hanashi doko no koto tomo yuwan de na   miete kitareba mina tokushin se,このはなしとこの事ともゆハんてな,みへてきたればみなとくしんせ
120,2,46,,,"Among the high mountains, the distinction between those of Nihon and those of Kara is also to be made by the pillar.",takayama no nihon no mono to tojin to   wakeru moyo mo kore mo hashira ya,高山のにほんのものととふぢんと,わけるもよふもこれもはしらや
121,2,47,,,"In distinguishing between those of Kara and those of Nihon, I shall use fire and water to make the distinction.",tojin to nihon no mono to wakeru no wa   hii to mizu to o irete wakeru de,とふじんとにほんのものとハけるのハ,火と水とをいれてハけるで
122,3,1,,,"At this time, set about quickly to clear away the structure from within the gate.",konotabi wa mon no uchi yori tachimono o   hayaku isoide toriharai seyo,このたびハもんのうちよりたちものを,はやくいそいでとりはらいせよ
123,3,2,,,"When you have completed the sweeping, please rope off the ground plan quickly.",sukiyaka ni soji shitateta koto naraba   nawamune isogi tanomi iru zo ya,すきやかにそふぢしたてた事ならば,なハむねいそぎたのみいるそや
124,3,3,,,"After you have truly finished the sweeping, your mind will be spirited by being single-hearted with God.",shinjitsu ni soji o shitaru sono nochi wa   Kami ichijo de kokoro isamuru,しんぢつにそふぢをしたるそのゝちハ,神一ぢよで心いさむる
125,3,4,,,"When the minds of the world are spirited step by step, peace will come to Nihon.",dandan to sekai no kokoro isamu nara   kore ga nihon no osamari to naru,だん／＼とせかいの心いさむなら,これがにほんのをさまりとなる
126,3,5,,,"Until now, you have understood nothing, but from now on you will see wondrous signs.",imamade wa nani yono koto mo wakari nai   korekara mieru fushigi aizu ga,いまゝでハなによの事もハかりない,これからみゑるふしぎあいづが
127,3,6,,,"I do not force you to come along if you do not wish to, but if you should, you will be blessed forever.",kon mono ni muri ni koi towa yu de nashi   tsukikuru naraba itsu made mo yoshi,こんものにむりにこいとハゆうでなし,つきくるならばいつまでもよし
128,3,7,,,"From now on, I shall speak in the metaphor of water. Be enlightened by the words ""clear"" and ""muddy.""",korekara wa mizu ni tatoete hanashi suru   sumu to nigori de satori toru nari,これからハ水にたとゑてはなしする,すむとにごりでさとりとるなり
129,3,8,,1,"Truly, the hastening in the mind of God is to put in the central pillar quickly.",shinjitsu ni Kami no kokoro no sekikomi wa   shin no hashira o hayaku iretai,しんぢつに神の心のせきこみわ,しんのはしらをはやくいれたい
130,3,9,,1,"Though I desire to put in the pillar quickly, I cannot find where to put it because of the muddy water.",kono hashira hayaku ireyo to omoedomo   nigori no mizu de tokoro wakaran,このはしらはやくいれよとをもへども,にごりの水でところわからん
