verse_id,part,verse,in_doctrine,in_life_of_oyasama,pt,en_6th_ed,ro,jp1,jp2,kanji,english
11,1,11,1,1,"Se todos completos executarem logo o Serviço e os próximos se animarem, Deus também se animará.","When all are assembled and quickly do the Service, as those close to Me become spirited, God, also, will be spirited.",mina sorote hayaku Tsutome o suru naraba   soba ga isameba Kami mo isamuru,みなそろてはやくつとめをするならバ,そばがいさめバ神もいさむる,皆揃ろて早く勤めをするならば   側が勇めば神も勇むる,"If you perform the Service quickly in full numbers, God will become cheered up as those close to Me become cheered up."
12,1,12,,1,"Se, em tudo, o espírito de Deus se desanimar, as colheitas serão também todas desanimadoras.","When the mind of God is depressed over everything, the growth of all crops will be depressed, too.",ichiretsu ni Kami no kokoro ga izumu nara   mono no ryuke ga mina izumu nari,いちれつに神の心がいづむなら,ものゝりうけかみないつむなり,一列に神の心がいずむなら   物の立毛が皆いずむなり,"When the mind of God is depressed about everything, every crop will be depressed, too."
13,1,13,,1,"É lamentável o espírito que causa a colheita desanimadora. Para não ser desanimadora, animem-se depressa.",The mind that causes depressed crops is pitiful. Quickly become spirited so that the crops are not depressed.,ryukei no izumu kokoro wa kinodoku ya   izuman yo to hayaku isame yo,りうけいのいつむ心ハきのとくや,いづまんよふとはやくいさめよ,立毛のいずむ心は気の毒や   いずまん様と早く勇めよ,It is pitiful that you are of a mind that causes depressed crops. Therefore quickly become cheerful lest the crops be depressed!
14,1,14,,1,"Se pensam em obter uma colheita animadora, realizem o Serviço de Kagura e Teodori.","If you wish that the crops grow spiritedly, do the Kagura Service and the Teodori.",ryukei ga isami deru yo to omou nara   Kagura-zutome ya Teodori o seyo,りうけいがいさみでるよとをもうなら,かぐらつとめやてをとりをせよ,立毛が勇み出る様と思うなら   神楽勤めや手踊りをせよ,"If you desire that the crops spring up vigorously, perform the Kagura and the Teodori!"
15,1,15,,,"Desta vez, comecem depressa o Teodori. Isto será o sinal para as coisas maravilhosas.","At this time, begin the Teodori quickly. That will be the sign for miraculous things to come.",konotabi wa hayaku Teodori hajime kake   kore ga aizu no fushigi naru zo ya,このたびハはやくてをどりはじめかけ,これがあいずのふしきなるそや,この度は早く手踊り初め掛け   これが合図の不思議なるぞや,"Now set out to perform the Teodori in haste! Taking this as a signal, I will work marvels."
16,1,16,,,"Este sinal dito maravilhoso não é visto. Se esse dia vier, poderão entender certamente.","Speaking of the sign and miracles, they are not yet seen. When the day arrives, you will understand clearly.",kono aizu fushigi to yute miete nai   sono hi kitareba tashika wakaru zo,このあいずふしぎとゆうてみへてない,そのひきたれバたしかハかるぞ,この合図不思議と言うて見えて無い   その日来たれば確か分かるぞ,This signal and the marvels have not yet been seen. But you will see them when the day comes.
17,1,17,,,"Quando esse dia chegar e o entenderem, seja quem for, todos irão admirar.","When the day arrives and understanding comes, whoever you may be, you will all be filled with admiration.",sono hi kite nanika wakari ga tsuita nara   ikana mono demo mina ga kanshin,そのひきてなにかハかりがついたなら,いかなものてもみながかんしん,その日来て何か分かりが付いたなら   如何な者でも皆が感心,"When the day comes and you understand what they are, whoever you may be, you will be all filled with admiration."
18,1,18,,,É comum explicar os fatos após serem vistos. Eu os deixarei explicado antes que sejam vistos.,To teach of things after they appear is the way of the world. I teach of things before they appear.,miete kara toite kakaru wa sekainami   mien saki kara toite oku zo ya,みへてからといてかゝるハせかいなみ,みへんさきからといてをくそや,見えてから説いて掛かるは世界並   見えん先から説いて置くぞや,To begin to preach when things have come into sight is worldly; I will teach you beforehand what is still unseen.
19,1,19,,,"De agora em diante, que o espírito dos superiores se acalme gradualmente, e a paz e a concórdia sejam feitas.","Hereafter, I desire that those in high places gradually calm their minds and make peace.",konosaki wa kami taru kokoro dandan to   kokoro shizumete waboku naru yo,このさきハ上たる心たん／＼と,心しづめてハぶくなるよふ,この先は上たる心段々と   心静めて和睦なる様,"Henceforth, I desire that the minds of the upper people will become step by step pacified and make peace."
20,1,20,,,"Embora esta paz e a concórdia pareçam difíceis, Deus dará a providência gradualmente.","This peace may seem difficult to attain, but it will come step by step through God's protection.",kono waboku mutsukashi yoni aru keredo   dandan Kami ga shugo suru nari,このハほくむつかしよふにあるけれと,だん／＼神がしゆこするなり,この和睦難しい様に有るけれど   段々神が守護するなり,"This peace may seem difficult to attain, yet I, God, will protect them and step by step lead them to it."
21,1,21,1,1,"Este é o mundo conduzido por meio da razão, e conduzirei tudo com a razão da poesia.",This is a world constructed on reason. So I shall press upon you everything with the reason in verse.,kono yo wa rii de semetaru sekai nari   nanika yorozu o uta no ri de seme,このよふハりいでせめたるせかいなり,なにかよろづを歌のりでせめ,この世は理で責めたる世界なり   何か万を歌の理で責め,This is a world constructed on reason. So I will press upon you everything with the reason expressed in poetry.
22,1,22,,1,"Digo conduzir, porém, não será impondo a força, nem por meio da boca, e sim, pela ponta do pincel.","I shall press, though not by force or word of mouth. I shall press by the tip of My writing brush.",semeru tote tezashi suru dewa nai hadoni   kuchi demo yuwan fudesaki no seme,せめるとててざしするでハないほどに,くちでもゆハんふでさきのせめ,責めるとて手差しするでは無い程に   口でも言わん筆先の責め,"Though I say I press, I will never press by force or by mouth, but with the tip of My writing brush."
23,1,23,,1,"Será ótimo não errar em coisa alguma, mas, se errar, avisarei com a poesia.","It is all very well if you err in nothing. But should you err, I shall inform you by verse.",nanimo kamo chigawan koto wa yokeredomo   chigai aru nara uta de shirasuru,なにもかもちがハん事ハよけれども,ちがいあるなら歌でしらする,何もかも違わん事は良けれども   違い有るなら歌で知らせる,"It is all very well if you err in nothing. But should you err, I will warn you in poetry."
24,1,24,,,"Sinto pena, pois, ao avisar, se manifestará. Todas as doenças se originam do espírito.",I pity you when My warnings become manifest. Know that any illness is from the mind.,shirashitara araware deru wa kinodoku ya   ikana yamai mo kokoro kara tote,しらしたらあらハれでるハきのどくや,いかなやまいも心からとて,知らしたら現れ出るは気の毒や   如何な病も心からとて,"It is a pity that when I warn you, things come to light. But it is inevitable, because any illness comes from one's own mind."
25,1,25,,,"Quanto à doença, não é algo comum. É a ira de Deus, que ora revelo.",What you are calling an illness is not an ordinary one. It is the anger of God now being shown.,yamai tote sekainami dewa nai hodoni   Kami no rippuku imazo arawasu,やまいとてせかいなみでハないほどに,神のりいふくいまぞあらハす,病とて世界並では無い程に   神の立腹今ぞ現す,"What you are calling illness is not an ordinary one. Now I, God, am manifesting My anger."
26,1,26,,,"Por não ter ouvido até agora os dizeres de Deus, fui obrigado a manifestá-la necessariamente.","Because you have not obeyed the words of God even until now, I could not avoid showing it.",imamade mo Kami no yu koto kikan kara   zehi naku omote arawashita nari,いまゝでも神のゆう事きかんから,ぜひなくをもてあらハしたなり,今迄も神の言う事聞かんから   是非無く表現したなり,Hitherto also you had not yet obeyed what God had told you. So I was obliged to show it.
27,1,27,,,"Por ser grande o pesar manifestado de Deus, nem médicos nem remédios poderão solucionar.","So much of God's regret is now being shown, the matter is beyond the help of doctors and medicines.",kora hodono Kami no zannen deteru kara   isha mo kusuri mo kore wa kanawan,こらほどの神のざんねんでてるから,いしやもくすりもこれハかなハん,こら程の神の残念出てるから   医者も薬もこれは敵わん,The regret of God appearing in this illness is so severe that doctors and medicine are all powerless.
28,1,28,,,"Não pensem que isto seja comum ao homem. Seja como for, orientarei tudo com a poesia.","Never think of this one matter as being ordinary. By all means, I shall admonish you with My verses.",kore bakari hitonami ya towa omouna yo   nandemo kore wa uta de semekiru,これハかりひとなみやとハをもうなよ,なんてもこれハ歌でせめきる,こればかり人並やとは思うなよ   何でもこれは歌で責め切る,"Just this, never think that it is an ordinary illness! By all means I will drive it away with poetry."
29,1,29,,1,"Desta vez, mostrarei realizando completamente a limpeza da Residência. Fiquem observando-a.","This time, I shall clean the Residence thoroughly. Watch, as I show you how.",konotabi wa yashiki no soji sukiyaka ni   shitatete miseru kore o mite kure,このたびハやしきのそふじすきやかに,したゝてみせるこれをみてくれ,この度は屋敷の掃除清きやかに   仕立てて見せるこれを見て呉れ,This time I am determined to sweep this Residence clean. So watch and see it!
30,1,30,,,"Se ao menos a limpeza for feita completamente, saberão a verdade que será contada e recontada.","When this cleaning is thoroughly done, the truth shall be known and it will be told and retold.",soji sai sukiyaka shitaru koto naraba   shirite hanashite hanashi suru nari,そふじさいすきやかしたる事ならバ,しりてはなしてはなしするなり,掃除さい清きやかしたる事ならば   知りて話して話するなり,"When I finish this sweeping thoroughly, the truth shall become clearly understood and it will be told and retold."
31,1,31,,,O que pensam ser o meu pesar de até agora? A deficiência da perna é o meu maior pesar.,What is the cause of My regret thus far? The lameness of your leg is My prime regret.,koremade no zannen naru wa nanino koto   ashi no chinba ga ichi no zannen,これまでのざんねんなるハなにの事,あしのちんばが一のさんねん,これ迄の残念なるは何の事   足の跛が一の残念,What do you think the reason is for My severe regret thus far? The lameness of the leg is the cause of My prime regret.
32,1,32,,,"Quanto a esta perna, embora estejam dizendo ser doença, não é doença, e sim, a ira de Deus.",You are saying that your leg is affected by illness. It is not an illness but the anger of God.,kono ashi wa yamai to yute iru keredo   yamai dewa nai Kami no rippuku,このあしハやまいとゆうているけれど,やまいでハない神のりいふく,この足は病と言うて居るけれど   病では無い神の立腹,You are calling it illness. But really it is not an illness.It is indeed the expression of the anger of God.
33,1,33,,,"Esta ira não é uma coisa insignificante, é a conseqüência do seu acúmulo e empilhamento.",My anger is not a small matter. It is the result of causes accumulated and piled up.,rippuku mo chotto no koto dewa nai hodoni   tsumori kasanari yue no koto nari,りいふくも一寸の事でハないほどに,つもりかさなりゆへの事なり,立腹も一寸の事では無い程に   積り重なり故の事なり,My anger is not a slight one. It is a result of causes accumulated and piled up.
34,1,34,,,"Se perguntarem o porquê desta ira, é em razão do mal que não foi afastado.",To say why it is that I am angry: it is because the wrongdoing has not been removed.,rippuku mo naniyue naru to yu naraba   akuji ga nokan yue no koto nari,りいふくもなにゆへなるどゆうならハ,あくじがのかんゆへの事なり,立腹も何故なると言うならば   悪事が退かん故の事なり,"If you ask the reason wherefore I am angry, it is because your wrongdoing has not yet stopped."
35,1,35,,,"Se não afastarem completamente este mal, saibam que será um obstáculo para a construção.","Unless this wrongdoing is completely removed, know that it will stand in the way of the construction.",kono akuji sukiyaka noken koto nitewa   fushin no jama ni naru to koso shire,このあくじすきやかのけん事にてハ,ふしんのしやまになるとこそしれ,この悪事清きやか退けん事にては   普請の邪魔になるとこそ知れ,"Unless this wrongdoing is entirely done away with, it will stand in the way of the construction. Understand it well!"
36,1,36,,,"Não importa quão persistente seja este mal, Deus o dominará e mostrará como afastá-lo.","No matter how stubborn this wrongdoing may be, it will be removed by the admonishment of God.",kono akuji nanbo shibutoi mono ya tote   Kami ga semekiri nokete miseru de,このあくじなんぼしぶといものやどて,神がせめきりのけてみせるで,この悪事何ぼしぶとい物やとて   神が責め切り退けて見せるで,"However obstinate this wrongdoing may be, I, God, will continue to attack and get rid of it."
37,1,37,,,"Se afastarem este mal completamente, a deficiência da perna se curará inteiramente.","If this wrongdoing is completely cleared away, the lameness of your leg, also, will be cleared away.",kono akuji sukiyaka noketa koto naraba   ashi no chinba mo sukiyaka to naru,このあくじすきやかのけた事ならバ,あしのちんばもすきやかとなる,この悪事清きやか退けた事ならば   足の跛も清きやかとなる,"Only if this wrongdoing is entirely done away with, the lameness of the leg will be completely cured."
38,1,38,,,"Se ao menos a perna for curada completamente, depois será somente o preparo da construção.","If only your leg is made completely well, nothing will remain but to prepare for the construction.",ashi saika sukiyaka naori shita naraba   ato wa fushin no moyo bakari o,あしさいかすきやかなをりしたならバ,あとハふしんのもよふハかりを,足さいか清きやか直りしたならば   後は普請の模様ばかりを,"Only if the lameness of the leg is completely cured, you can devote yourself single-heartedly to arrangements for the construction."
39,1,39,,,Uma palavra! Delimito o dia trinta do primeiro mês para mandá-la de volta porque é a vontade de Deus.,Just a word: returning her by the thirtieth of the first month is also from the mind of God.,choto hanashi shogatsu misoka to hi o kirite   okuru mo Kami no kokoro kara tote,一寸はなし正月三十日とひをきりて,をくるも神の心からとて,一寸話正月三十日と日を切りて   送るも神の心からとて,Just a word! It is the intention of God to send her back to her home by the thirtieth of the first month.
40,1,40,,,"Embora os próximos estranhem o que estou fazendo, é por não conhecerem os fatos futuros.",You close to Me may question what I do. This is because you do not know the future.,soba na mono nani goto suru to omoedomo   saki naru koto o shiran yue nari,そバなものなに事するとをもへども,さきなる事をしらんゆへなり,側な者何事すると思えども   先なる事を知らん故なり,"You close to Me may feel strange about what I intend to do, but it is because you cannot foresee what will happen in the future."
41,1,41,,,"Ao chegar esse dia e o fato for visto, os próximos saberão que não há erro algum nas palavras de Deus.","When the day arrives and things are seen, you close to Me will know that God's words never err.",sono hi kite mietaru naraba soba na mono   Kami no yu koto nanimo chigawan,そのひきてみへたるならバそばなもの,神のゆう事なにもちがハん,その日来て見えたるならば側な者   神の言う事何も違わん,"When the day comes and things appear, you close to Me will understand that what I, God, tell you never proves wrong."
42,1,42,,,"Até agora, duvidando das palavras de Deus, diziam que tudo era mentira.","Until now, you have doubted the words of God. You have been saying that they are all false.",imamade wa Kami no yu koto utagote   nanimo uso ya to yute ita nari,いまゝでハ神のゆう事うたこふて,なにもうそやとゆうていたなり,今迄は神の言う事疑うて   何も嘘やと言うて居たなり,"So far you have doubted what I, God, have told you. You have been saying that it is all false."
43,1,43,,,"Nas palavras de Deus, que iniciou este mundo, não existe absolutamente um mínimo de erro.","Among the words of God, who began this world, there is not even a single mistake in a thousand.",kono yo o hajimeta Kami no yu koto ni   sen ni hitotsu mo chigau koto nashi,このよふをはじめた神のゆう事に,せんに一つもちがう事なし,この世を初めた神の言う事に   千に一つも違う事無し,"There is not a single mistake even out of a thousand in what I, God, who created this world tell you."
44,1,44,,,"Quando os fatos vierem gradualmente a ser vistos, convençam-se que qualquer espírito, tudo será revelado.","If you begin to see this step by step, be convinced. Every kind of mind will all be revealed.",dandan to miete kita nara tokushin se   ikana kokoro mo mina arawareru,だん／＼とみへてきたならとくしんせ,いかな心もみなあらハれる,段々と見えて来たなら得心せ   如何な心も皆現れる,"When things appear one by one, become convinced of the truth of My words! Minds of whatever kinds will all appear."
45,1,45,,,"Se observarem o mundo inteiro por todas as épocas, verão que há também vários caminhos.","Looking all over the world and through all ages, I see various paths of life.",yorozuyo no sekaiju o miwataseba   michi no shidai mo iroiro ni aru,よろづよのせかいぢふうをみハたせバ,みちのしだいもいろ／＼にある,万代の世界中を見渡せば   道の次第も色々に有る,"Looking all over the world and through all ages, I find there are various ways of life."
46,1,46,1,,"Doravante, direi alegorizando num caminho, e não digo absolutamente de onde se trata.","Hereafter, I shall speak in the metaphor of a path, not indicating any place in particular.",konosaki wa michi ni tatoete hanashi suru   doko no koto tomo sarani yuwan de,このさきハみちにたとへてはなしする,どこの事ともさらにゆハんで,この先は道に例えて話する   何処の事とも更に言わんで,From now on I will talk in the metaphor of a road. But I will not indicate any person in particular.
47,1,47,1,1,"Se transporem ladeiras e montanhas, e sarças espinhosas, e trilhas em precipícios, e espadas...","Over steep mountains, through tangles of thorns, along narrow ledges, and through brandished swords, if you come,",yamasaka ya ibara guro mo gakemichi mo   tsurugi no naka mo torinuke tara,やまさかやいばらぐろふもがけみちも,つるぎのなかもとふりぬけたら,山坂や茨くろも崖道も   剣の中も通り抜けたら,"Passing over steep mountains and thorny paths, along ledges, and through the blades of swords,"
48,1,48,1,1,"Verão ainda no meio de chamas e abismos profundos. Se os ultrapassarem, terão um caminho estreito.","Yet ahead through a sea of flames and a deep abyss, you will arrive at a narrow lane.",mada mieru hi no naka mo ari fuchinaka mo   sore o koshitara hosoi michi ari,まだみへるひのなかもありふちなかも,それをこしたらほそいみちあり,未だ見える火の中も有り淵中も   それを越したら細い道有り,"Further, passing through a sea of flame and a deep abyss, you will come to a narrow lane."
49,1,49,,1,"Se passarem pelo caminho estreito passo a passo, terão um amplo, que é certamente o real.","After following the narrow lane step by step, you will come to a broad way. This is the trustworthy main path.",hosomichi o dandan koseba omichi ya   kore ga tashikana honmichi de aru,ほそみちをだん／＼こせばをふみちや,これがたしかなほんみちである,細道を段々越せば大道や   これが確かな本道で有る,"After passing through the narrow lane step by step, you will come to a broad way. This is the trustworthy main road."
50,1,50,,1,"Esta narração não é senão a do próprio caso, que é o da devoção única a Deus.",This talk is not someone else's concern. It is a matter of your own and your single-heartedness with God.,kono hanashi hoka no koto dewa nai hodoni   Kami ichijo de kore waga koto,このはなしほかの事でわないほとに,神一ぢよでこれわが事,この話他の事では無い程に   神一条でこれ我が事,You must not take this metaphor as other people's concern. This is a matter of My own and of all who go single-heartedly the way of God.
51,1,51,,,"Até agora, era apenas sobre os fatos internos. De agora em diante, mudarei de expressão.","Until now, I have spoken solely about matters within. Now, I shall change the topic.",imamade wa uchi naru koto o bakari nari   mo korekara wa monku kawaru zo,いまゝでハうちなる事をばかりなり,もふこれからハもんくかハるぞ,今迄は内なる事をばかりなり   もうこれからは文句変わるぞ,"So far I have admonished you about the family affairs alone, but from now on I will change My topic."
52,1,52,1,,"Observando o mundo por todas as épocas, não há em absoluto quem seja mau.","Looking all over the world and through all ages, I find no one who is evil.",yorozuyo ni sekai no tokoro miwatasedo   ashiki no mono wa sara ni nai zo ya,よろづよにせかいのところみハたせど,あしきのものハさらにないぞや,万代の世界の所見渡せど   悪しきの者は更に無いぞや,"Looking all over the world and through all ages, I find no one who is essentially evil."
53,1,53,1,,"Entre todos, não há o mau propriamente dito, mas, maculado por um pouco de poeira.","Among all humankind, there is no one who is evil. It is only a bit of dust stuck on.",ichiretsu ni ashiki to yute nai keredo   choto no hokori ga tsuita yue nari,一れつにあしきとゆうてないけれど,一寸のほこりがついたゆへなり,一列に悪しきと言うて無いけれど   一寸の埃が付いた故なり,"Among all mankind, there is no one who is essentially  evil. If there is, it is only because a few specks of dust have stuck to him."
54,1,54,,,"Daqui em diante, reflitam serenando o espírito de maneira que não se arrependam depois.","Hereafter, calm your minds and ponder. Make sure you will not be remorseful later.",konosaki wa kokoro shizumete shiyan seyo   ato de kokwai naki yoni seyo,このさきハ心しづめてしやんせよ,あとでこふくハいなきよふにせよ,この先は心静めて思案せよ   後で後悔無き様にせよ,Henceforth deeply ponder well with a calm mind so that you need not repent of it afterwards!
55,1,55,,,"Até o presente, nesta longa caminhada da vida, devem ter sentido um tédio muito grande.",Long have you wandered on your path until now. You must be very tired of it.,imamade wa nagai dochu michisugara   yohodo taikutsu shita de aro na,いまゝてハながいどふちふみちすがら,よほどたいくつしたであろをな,今迄は永い道中道すがら   余程退屈したで有ろうな,So far you have wandered such a long way. So perhaps you are very tired of it.
56,1,56,,,"Desta vez, o local certo para adoração já surgiu diante da vista. Convençam-se disso.","Finally this time, a trustworthy place of worship has begun to appear. Be convinced of it!",konotabi wa mo tashika naru mairisho   miete kita zoe tokushin o seyo,このたびハもふたしかなるまいりしよ,みへてきたぞへとくしんをせよ,この度はもう確かなる参り所   見えて来たぞえ得心をせよ,But now a definite place for worship has made its appearance. So be convinced of it!
57,1,57,,,"Doravante, explicando, farei ouvir a longa caminhada da vida. Reflitam profundamente.","From now on, I shall teach you about the long journey of humankind. Ponder over it firmly!",korekara wa nagai dochu michisugara   toite kikasuru tokuto shiyan o,これからハながいどふちふみちすがら,といてきかするとくとしやんを,これからは永い道中道すがら   説いて聞かする篤くと思案を,From now on I will teach in detail on the long journey of man. Ponder over it seriously!
58,1,58,,,"Doravante, preparo a pacificação interna, pois Deus está apressado.","Hereafter, I shall arrange for the settling of matters within. The mind of God is hastening it.",konosaki wa uchi o osameru moyodate   Kami no ho niwa kokoro sekikomu,このさきハうちをおさめるもよふだて,神のほふにハ心せきこむ,この先は内を治める模様建て   神の方には心急き込む,Henceforth I will arrange for settling the family affairs. The mind of God is truly hastening it.
59,1,59,,,Escutem gradualmente os dizeres de Deus. Não digo nada que seja mau.,"Please listen to what God tells you step by step, for I shall never tell you anything wrong.",dandan to Kami no yu koto kiite kure   ashiki no koto wa sarani yuwan de,だん／＼と神のゆふ事きいてくれ,あしきのことハさらにゆハんで,段々と神の言う事聞いて呉れ   悪しきの事は更に言わんで,"Step by step listen to what I, God, tell you! For I will tell you nothing wrong."
60,1,60,,,"Dizem em educar a criança por dois ou três anos. No entanto, ela está afastada das mãos de Deus.",You say that you wish to train the child for two or three more years. But she is no longer in the hands of God.,kono kodomo ni nen san nen shikomo to   yute iredomo Kami no tebanare,このこ共二ねん三ねんしこもふと,ゆうていれども神のてはなれ,この子供二年三年仕込もうと   言うて居れども神の手離れ,You say that you wish to train this young one for two or three years. But from this one the hand of God is removed.
61,1,61,,,"Reflitam! Por mais que os pais pensem, nada podem fazer se ela está afastada das mãos de Deus.","Ponder well: however dear she may be to you, her parent, you can do nothing if she is out of the hands of God.",shiyan seyo oya ga ika hodo omotemo   Kami no tebanare kore wa kanawan,しやんせよをやがいかほどをもふても,神のてばなれこれハかなハん,思案せよ親が如何程思うても   神の手離れこれは敵わん,"Ponder over it well! However beloved she may be to you parents, when the hand of God is removed from her, you will be powerless."
62,1,62,,,"Por estar o mundo mesclado de maus fatos, não devem impregnar-se de más causalidades.",This world is mixed with wrongdoing. You must not attach yourself to bad causation.,kono yo wa akuji majiri de aru karani   innen tsukeru koto wa ikan de,このよふハあくしまじりであるからに,いんねんつける事ハいかんで,この世は悪事混じりで有るからに   因縁付ける事はいかんで,This world is mixed with wrongdoing. You must not attach yourself to bad causation.
63,1,63,,,"Embora pense estar já com cinqüenta anos, aos olhos de Deus, ainda há muitos anos.",You are thinking that you are already near fifty. Yet in the eyes of God you have many years ahead of you.,waga mi niwa mo goju ya to omoedomo   Kami no me niwa mada saki ga aru,,神のめへにハまださきがある,,"Although you may think that you are near fifty, yet in the eyes of God you have many years ahead of you."
64,1,64,,,"Os sessenta anos, a partir deste ano, serão assegurados por Deus firmemente.","Sixty more years from this year, God promises you with certainty.",kotoshi yori rokuju nen wa shikkari to   Kami no ho niwa shikato ukeyau,ことしより六十ねんハしいかりと,神のほふにハしかとうけやう,今年より六十年は確りと   神の方には確と請け合う,"I, God, guarantee you sixty more years from this year assuredly."
65,1,65,,,"Doravante, reforme firmemente o espírito, espane os maus fatos e tenha uma esposa jovem.","From now, replace your mind firmly. Sweep away the wrongdoing and take a young wife.",korekara wa kokoro shikkari irekae yo   akuji harote wakaki nyobo,これからハ心しいかりいれかへよ,あくじはろふてハかきによほふ,これからは心確り入れ替えよ   悪事払うて若き女房,"From now  on replace your mind definitely, sweep away the wrongdoing, and take a young wife."
66,1,66,,,"Mesmo que isto possa parecer deveras difícil, se Deus sair, voltará trazendo-a.","This may seem difficult to do, but God will go forth and receive her without fail.",kore totemo mutsukashi yoni aru keredo   Kami ga deta nara morote kuru zo ya,これとてもむつかしよふにあるけれど,神がでたならもろてくるそや,これとても難し様に有るけれど   神が出たなら貰ろて来るぞや,"This may seem difficult, but when I, God, make the request Myself, she will come without fail."
67,1,67,,,"Se dedicar dia a dia o espírito, Eu o incumbirei da direção de todas as coisas posteriores.","After you have devoted yourself day by day, I shall leave you entrusted with the management of everything.",nichinichi ni kokoro tsukushita sono ue wa   ato no shihai o yorozu makaseru,にち／＼に心つくしたそのゑハ,あとのしはいをよろづまかせる,日々に心尽くしたその上は   後の支配を万任せる,"If you devote yourself to My will day by day, I will entrust you with the management of everthing in the future."
